channel_id,dow,n,median_views,median_vpd,channel_median,index_vs_channel
UCeLe9gr7c9CsAtFusECY18g,Thursday,5,71438.0,199.230282977516,53603.0,1.33
UCeLe9gr7c9CsAtFusECY18g,Friday,6,67234.0,82.41139757326972,53603.0,1.25
UCeLe9gr7c9CsAtFusECY18g,Wednesday,8,48035.5,51.812203701209626,53603.0,0.9
UCeLe9gr7c9CsAtFusECY18g,Sunday,18,28645.0,58.5535992875708,53603.0,0.53
UCfhbydY40P2Lli9HuBz8cdA,Sunday,106,194258.5,610.6396207832488,140995.5,1.38
UCfhbydY40P2Lli9HuBz8cdA,Wednesday,7,27890.0,56.49594582621391,140995.5,0.2
UCfhbydY40P2Lli9HuBz8cdA,Thursday,14,20100.5,113.21412036272602,140995.5,0.14
UCfhbydY40P2Lli9HuBz8cdA,Friday,11,12034.0,38.70765932779147,140995.5,0.09
UCfhbydY40P2Lli9HuBz8cdA,Saturday,8,10678.5,35.83239087207522,140995.5,0.08
UCfhbydY40P2Lli9HuBz8cdA,Tuesday,6,10204.0,30.14080549938435,140995.5,0.07
UCfhbydY40P2Lli9HuBz8cdA,Monday,6,8304.0,16.241586885792586,140995.5,0.06
UCgOHoUCzElFju7HgkuHLzfw,Sunday,6,186.0,0.311655581544947,102.0,1.82
UCgOHoUCzElFju7HgkuHLzfw,Wednesday,37,137.0,0.3859066710486779,102.0,1.34
UCgOHoUCzElFju7HgkuHLzfw,Monday,82,107.0,0.31656599872930347,102.0,1.05
UCgOHoUCzElFju7HgkuHLzfw,Thursday,37,98.0,0.3421397212123999,102.0,0.96
UCgOHoUCzElFju7HgkuHLzfw,Tuesday,56,87.5,0.31004631110170755,102.0,0.86
UCgOHoUCzElFju7HgkuHLzfw,Friday,4,60.5,0.7290483953380016,102.0,0.59
UCgPEfLdSfqeteBIQjMgJFtA,Wednesday,26,5697.0,42.00490693411869,4128.0,1.38
UCgPEfLdSfqeteBIQjMgJFtA,Sunday,55,5203.0,19.631790626088176,4128.0,1.26
UCgPEfLdSfqeteBIQjMgJFtA,Monday,31,3402.0,9.712162740702862,4128.0,0.82
UCgPEfLdSfqeteBIQjMgJFtA,Saturday,8,2999.5,21.074798856793734,4128.0,0.73
UCgPEfLdSfqeteBIQjMgJFtA,Thursday,24,2886.0,11.209611202790402,4128.0,0.7
UCgPEfLdSfqeteBIQjMgJFtA,Friday,9,2566.0,21.41428817672251,4128.0,0.62
UCgPEfLdSfqeteBIQjMgJFtA,Tuesday,8,1942.5,12.628094781987823,4128.0,0.47
UChlTcWDE8gd4tsl_L727NrQ,Saturday,4,217851.0,861.3118073172271,125383.0,1.74
UChlTcWDE8gd4tsl_L727NrQ,Friday,4,197302.5,395.1461015346488,125383.0,1.57
UChlTcWDE8gd4tsl_L727NrQ,Thursday,10,140028.0,327.7926286479146,125383.0,1.12
