channel_id,title,handle,url,bucket,country,subscriber_count,total_views,public_video_count,videos_collected,videos_mature,first_seen,last_upload,days_since_last_upload,uploads_per_week,uploads_per_month,median_views_all_mature,mean_views_all_mature,median_views_last10,median_views_last30,median_vpd,views_per_sub,n_longform,n_shorts,median_views_longform,median_views_shorts,median_duration_sec_longform,pct_outperform_2x,top10pct_view_share,gini_views,median_engagement_rate,likes_hidden_pct
UCqvaXJ1K3HheTPNjH-KpwXQ,Principles by Ray Dalio,@principlesbyraydalio,https://www.youtube.com/@principlesbyraydalio,D,,3180000,1209215043,645,233,230,2024-09-11,2026-09-02,5,2.27,9.85,32021.0,66769.72972972973,20239.5,15098.5,139.3022678082461,0.0101,37,193,32021.0,35372.0,278.0,0.351,0.362,0.53,0.026,0.0
UC7AoMESkPXV_Bqr0I8dbzrw,اقتصاد ببساطة -ابراهيم الشربينى -aiqtisad bibasata,@ibrahimalsherbiny76,https://www.youtube.com/@ibrahimalsherbiny76,A,,49000,6698745,560,343,334,2024-09-08,2026-09-01,6,3.32,14.44,14059.0,17711.625899280574,12617.0,13235.5,46.79492243265037,0.2869,139,195,14059.0,11102.0,585.0,0.144,0.256,0.364,0.0678,0.09
UCFaJ8JgHaiXBmSzZEGvW5XA,إسماعيل الشكري,@shukriim,https://www.youtube.com/@shukriim,B,SA,151000,14266243,1065,60,60,2024-07-14,2025-08-23,380,1.04,4.51,10960.5,11948.066666666668,11735.5,13075.0,19.72260410717417,0.0726,60,0,10960.5,,1711.0,0.083,0.218,0.304,0.0231,0.0
UCtnJmiK9f4pLWhh61ySbdvQ,ِAhmed Abdrabo - أحمد عبدربه,@aabdrabo,https://www.youtube.com/@aabdrabo,A,EG,53000,8229705,866,294,275,2024-09-07,2026-09-05,2,2.83,12.31,9216.5,11177.67117117117,14309.0,13036.5,23.408200900531757,0.1739,222,53,9216.5,2598.0,1425.0,0.144,0.279,0.402,0.0391,0.0
UCRK5xmIi8kuLUduTE3Ti7lw,Share Market Analysis,@sharemarketanalysis,https://www.youtube.com/@sharemarketanalysis,C,IN,331000,127083720,16253,600,343,2026-06-29,2026-09-07,0,60.87,264.7,5671.0,6422.7434402332365,6332.5,11911.0,117.22119992459888,0.0171,343,0,5671.0,,358.0,0.082,0.209,0.273,0.0467,0.0
UCpH_qlKdyyjBk4mLAZTEKAA,اقتصاد موازي,@actsadmowzee,https://www.youtube.com/@actsadmowzee,B,EG,115000,27506097,1734,600,554,2025-10-10,2026-09-06,1,12.69,55.18,16285.5,18111.14285714286,14251.0,11843.0,92.46658425335872,0.1416,336,218,16285.5,8881.0,548.0,0.092,0.223,0.315,0.0543,0.0
UCIALMKvObZNtJ6AmdCLP7Lg,Bloomberg Television,@markets,https://www.youtube.com/@markets,C,US,3270000,1466998372,97310,600,0,2026-08-23,2026-09-07,0,280.0,1217.6,,,17482.0,10393.0,,,0,0,,,,,,,,
UC5kh_CumIL_usjg3pW5J9Qw,Crypto Le Trone,@cryptoletrone,https://www.youtube.com/@cryptoletrone,F,AE,174000,45443710,4279,600,508,2026-02-23,2026-09-07,0,21.43,93.18,8981.5,9069.515789473684,11739.5,10205.0,76.0571210309898,0.0516,380,128,8981.5,6877.5,699.5,0.021,0.182,0.247,0.079,0.0
UCvWpf6aN45jIFIifAvBF_aA,سبائك الذهب ..كريم الزينى,@user-karim1984,https://www.youtube.com/@user-karim1984,B,,60300,16473481,2318,600,537,2025-11-14,2026-09-07,1,14.19,61.7,9773.0,10031.22346368715,9931.5,10190.5,60.76842214944607,0.1621,537,0,9773.0,,942.0,0.011,0.164,0.187,0.089,0.0
UCjKvFMbYVKOnBDarCtXfEww,Matthieu Louvet - S'investir,@matthieulouvet,https://www.youtube.com/@matthieulouvet,F,FR,425000,42150079,1125,600,551,2025-07-24,2026-09-07,0,10.27,44.66,73794.5,142402.16326530612,5572.0,10127.5,404.5819525682693,0.1736,98,453,73794.5,6919.0,1538.5,0.286,0.403,0.555,0.0245,0.0
